STM0001	thr operon leader peptide
STM3096	DUF179 domain-containing protein
STM3097	Holliday junction DNA helicase RuvA
STM3098	putative transcriptional regulator
STM3099	type IV pili twitching motility protein PilT
STM3100	YggS family pyridoxal phosphate enzyme
STM3101	hypothetical protein
STM3102	YggU family protein
STM3103	RdgB/HAM1 family non-canonical purine NTP pyrophosphatase
STM3104	YggW family oxidoreductase
STM3105	hypothetical protein
STM3106	L-asparaginase II
STM3107	hypothetical protein
STM3108	hypothetical protein
STM3109	tRNA (guanosine(46)-N7)-methyltransferase TrmB
STM3110	A/G-specific adenine glycosylase
STM3111	oxidative damage protection protein
STM3112	murein transglycosylase C
STM3113	MFS transporter
STM3114	ornithine decarboxylase
STM3115	hypothetical protein
STM3117	putative lactoylglutathione lyase
STM3118	putative acetyl-CoA hydrolase
STM3119	molybdenum cofactor biosynthesis protein MoeC
STM3120	CoA ester lyase
STM3121	putative LysR family transcriptional regulator
STM3122	putative arylsulfatase
STM3123	anaerobic sulfatase maturase
STM3124	helix-turn-helix transcriptional regulator
STM3125	hypothetical protein
STM3126	putative amino acid transporter
STM3127	hypothetical protein
STM3128	FAD-dependent oxidoreductase
STM3129	NAD-dependent phenylacetaldehyde dehydrogenase
STM3130	DNA recombination protein
STM3131	type VI secretion effector protein
STM3132	xylanase deacetylase
STM3133	putative amidohydrolase
STM3134	MFS transporter
STM3135	mannonate dehydratase
STM3136	fructuronate reductase
STM3137	glucuronate isomerase
STM3138	chemotaxis protein
STM3139	bifunctional glutathionylspermidine amidase/synthase
STM3140	glutathione-dependent disulfide-bond oxidoreductase
STM3141	molybdenum ABC transporter substrate-binding protein
STM3142	hypothetical protein
STM3143	hydrogenase 2 accessory protein HypG
STM3144	hydrogenase maturation nickel metallochaperone HypA
STM3145	hydrogenase 2-specific chaperone
STM3146	hydrogenase expression/formation protein
STM3147	hydrogenase 2 large subunit
STM3148	Ni/Fe-hydrogenase cytochrome b subunit
STM3149	hydrogenase 2 protein HybA
STM3150	hydrogenase 2 small subunit
STM3151	hypothetical protein
STM3152	putative methyl-accepting chemotaxis protein
STM3153	hypothetical protein
STM3154	putative ATP-dependent RNA helicase-like protein
STM3155	hypothetical protein
STM3156	hypothetical protein
STM3157	NAD(P)-dependent oxidoreductase
STM3158	TonB system transporter ExbD
STM3159	tonB-system energizer ExbB
STM3160	putative inner membrane protein
STM3161	cystathionine beta-lyase
STM3162	DedA family protein
STM3163	AraC family transcriptional regulator
STM3164	NADH-dependent alcohol dehydrogenase
STM3165	2,5-didehydrogluconate reductase A
STM3166	putative cation transporter
STM3167	diadenosine tetraphosphate hydrolase
STM3168	YgiQ family radical SAM protein
STM3169	C4-dicarboxylate ABC transporter substrate-binding protein
STM3170	C4-dicarboxylate ABC transporter permease
STM3171	hypothetical protein
STM3172	cell division protein FtsP
STM3173	1-acylglycerol-3-phosphate O-acyltransferase
STM3174	DNA topoisomerase IV, subunit A
STM3175	AraC family transcriptional regulator
STM3176	TIGR00156 family protein
STM3177	two-component system response regulator QseB
STM3178	two-component system sensor histidine kinase QseC
STM3179	NADPH quinone reductase MdaB
STM3180	monooxygenase
STM3181	DNA topoisomerase IV subunit B
STM3182	esterase YqiA
STM3183	3',5'-cyclic-AMP phosphodiesterase
STM3184	hypothetical protein
STM3185	ADP-ribose diphosphatase
STM3186	outer membrane channel
STM3187	hypothetical protein
STM3188	hypothetical protein
STM3189	putative cytoplasmic protein
STM3190	zinc transporter ZupT
STM3191	putative arylsulfate sulfotransferase
STM3192	putative arylsulfate sulfotransferase
STM3193	thiol:disulfide interchange protein
STM3194	disulfide bond formation protein B
STM3195	3,4-dihydroxy-2-butanone-4-phosphate synthase
STM3196	putative cytoplasmic protein
STM3197	glycogen synthase
STM3198	hypothetical protein
STM3199	flotillin
STM3200	bifunctional heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase
STM3201	bifunctional glutamine synthetase adenylyltransferase/deadenyltransferase
STM3202	CYTH domain-containing protein
STM3203	hypothetical protein
STM3204	multifunctional CCA tRNA nucleotidyl transferase/2'3'-cyclic phosphodiesterase/2'nucleotidase/phosphatase
STM3205	bacitracin resistance
STM3206	dihydroneopterin aldolase
STM3207	acyl-phosphate--glycerol-3-phosphate O-acyltransferase
STM3208	tRNA threonylcarbamoyl adenosine modification protein TsaD
STM3209	30S ribosomal protein S21
STM3210	DNA primase
STM3211	RNA polymerase sigma factor RpoD
STM3212	double-stranded uracil-DNA glycosylase
STM3214	NADPH-dependent ferric siderophore reductase
STM3215	putative transcriptional regulator
STM3216	putative methyl-accepting chemotaxis protein
STM3217	hypothetical protein
STM3218	putative acetylornithine aminotransferase
STM3219	NADPH-dependent 2,4-dienoyl-CoA reductase
STM3220	23S rRNA (guanine(1835)-N(2))-methyltransferase
STM3221	putative metal-dependent hydrolase
STM3222	hypothetical protein
STM3223	oxidoreductase
STM3224	hypothetical protein
STM3225	serine/threonine transporter SstT
STM3226	DedA family protein
STM3227	EnvZ/OmpR regulon moderator
STM3228	hypothetical protein
STM3229	hypothetical protein
STM3230	hypothetical protein
STM3231	hypothetical protein
STM3232	putative membrane-associated protein
STM3233	glutathione-dependent reductase
STM3234	hypothetical protein
STM3235	putative LysR family transcriptional regulator
STM3236	hypothetical protein
STM3237	hypothetical protein
STM3238	hypothetical protein
STM3239	hypothetical protein
STM3240	L-serine ammonia-lyase
STM3241	formate C-acetyltransferase
STM3242	propionate/acetate kinase
STM3243	threonine/serine transporter TdcC
STM3244	threonine ammonia-lyase
STM3245	transcriptional regulator TdcA
STM3247	glycerate 2-kinase
STM3248	2-hydroxy-3-oxopropionate reductase
STM3249	2-dehydro-3-deoxyglucarate aldolase
STM3250	galactarate dehydratase
STM3251	sugar kinase
STM3252	DeoR family transcriptional regulator
STM3253	putative fructose/tagatose biphosphate aldolase
STM3254	1-phosphofructokinase
STM3255	PTS fructose transporter subunit IIC
STM3256	PTS fructose transporter subunit IIA
STM3257	D-tagatose-1,6-bisphosphate aldolase subunit GatZ
STM3258	PTS galactitol transporter subunit IIA
STM3259	PTS galactitol transporter subunit IIB
STM3260	PTS galactitol transporter subunit IIC
STM3261	galactitol-1-phosphate 5-dehydrogenase
STM3262	transcriptional regulator
STM3263	16S rRNA (cytidine(1402)-2'-O)-methyltransferase
STM3264	penicillin-binding protein activator
STM3265	YraN family protein
STM3266	putative phosphoheptose isomerase
STM3267	osmotically-inducible protein OsmY
STM3268	putative nucleoside-diphosphate-sugar epimerase
STM3269	protease
STM3270	hypothetical protein
STM3271	putative cytoplasmic protein
STM3272	GNAT family N-acetyltransferase
STM3273	hypothetical protein
STM3274	putative protease
STM3275	putative protease
STM3276	hypothetical protein
STM3277	hypothetical protein
STM3278	hypothetical protein
STM3279	tryptophan permease
STM3280	cysteine sulfinate desulfinase
STM3281	lipoprotein NlpI
STM3282	polyribonucleotide nucleotidyltransferase
STM3283	30S ribosomal protein S15
STM3284	tRNA pseudouridine(55) synthase TruB
STM3285	ribosome-binding factor A
STM3286	translation initiation factor IF-2
STM3287	transcription termination/antitermination protein NusA
STM3288	putative cytoplasmic protein
STM3290	argininosuccinate synthetase
STM3291	hypothetical protein
STM3293	preprotein translocase subunit SecG
STM3294	phosphoglucosamine mutase
STM3295	dihydropteroate synthase
STM3296	ATP-dependent metalloprotease
STM3297	23S rRNA (uridine(2552)-2'-O)-methyltransferase
STM3298	putative RNA-binding protein
STM3299	transcription elongation factor GreA
STM3300	serine-type D-Ala-D-Ala carboxypeptidase
STM3301	GTPase ObgE
STM3303	50S ribosomal protein L27
STM3304	50S ribosomal protein L21
STM3305	octaprenyl diphosphate synthase
STM3306	transcriptional regulator
STM3307	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
STM3308	putative BolA family transcriptional regulator
STM3309	phospholipid ABC transporter substrate-binding protein
STM3310	phospholipid-binding protein MlaC
STM3311	outer membrane lipid asymmetry maintenance protein MlaD
STM3312	ABC transporter permease
STM3313	phospholipid ABC transporter ATP-binding protein MlaF
STM3314	calcium/sodium antiporter
STM3315	D-arabinose 5-phosphate isomerase
STM3316	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase
STM3317	LPS export ABC transporter periplasmic protein LptC
STM3318	LPS export ABC transporter substrate-binding protein LptA
STM3319	LPS export ABC transporter ATP-binding protein
STM3320	RNA polymerase factor sigma-54
STM3321	ribosomal subunit interface protein
STM3322	PTS sugar transporter subunit IIA
STM3323	RNase adaptor RapZ
STM3324	HPr family phosphocarrier
STM3325	hypothetical protein
STM3326	monofunctional biosynthetic peptidoglycan transglycosylase
STM3327	glyoxalase ElbB
STM3328	two-component sensor histidine kinase ArcB
STM3329	TIGR01212 family radical SAM protein
STM3330	glutamate synthase large subunit
STM3331	glutamate synthase small subunit
STM3332	hypothetical protein
STM3333	cytosine permease
STM3334	putative cytosine deaminase
STM3335	hypothetical protein
STM3336	N-acetylmannosamine kinase
STM3337	N-acetylmannosamine-6-phosphate 2-epimerase
STM3338	MFS transporter
STM3339	N-acetylneuraminate lyase
STM3340	transcriptional regulator NanR
STM3341	stringent starvation protein B
STM3342	stringent starvation protein A
STM3343	putative cytoplasmic protein
STM3344	30S ribosomal protein S9
STM3345	50S ribosomal protein L13
STM3346	cell division protein ZapE
STM3347	putative periplasmic protein
STM3348	serine endoprotease DegQ
STM3349	stress sensor serine endopeptidase DegS
STM3350	hypothetical protein
STM3351	oxaloacetate decarboxylase subunit beta
STM3352	oxaloacetate decarboxylase subunit alpha
STM3353	oxaloacetate decarboxylase subunit gamma
STM3354	L(+)-tartrate dehydratase subunit beta
STM3355	L(+)-tartrate dehydratase subunit alpha
STM3356	putative cation transporter
STM3357	LysR family transcriptional regulator
STM3358	GntR family transcriptional regulator
STM3359	malate dehydrogenase
STM3360	arginine repressor
STM3361	hypothetical protein
STM3362	hypothetical protein
STM3363	hypothetical protein
STM3364	p-hydroxybenzoic acid efflux pump subunit AaeB
STM3365	p-hydroxybenzoic acid efflux pump subunit AaeA
STM3366	transporter
STM3367	transcriptional regulator
STM3368	metalloprotease TldD
STM3369	TIGR02099 family protein
STM3370	ribonuclease E/G
STM3371	septum formation inhibitor Maf
STM3372	rod shape-determining protein
STM3373	rod shape-determining protein MreC
STM3374	rod shape-determining protein
STM3375	RNase E specificity factor CsrD
STM3376	putative oxidoreductase
STM3377	mononuclear molybdenum enzyme YedY
STM3378	sulfoxide reductase heme-binding subunit YedZ
STM3379	acetyl-CoA carboxylase biotin carboxyl carrier subunit
STM3380	acetyl-CoA carboxylase biotin carboxylase subunit
STM3381	hypothetical protein
STM3382	sodium/panthothenate symporter
STM3383	ribosomal protein L11 methyltransferase
STM3384	tRNA dihydrouridine synthase DusB
STM3385	Fis family transcriptional regulator
STM3386	adenine-specific DNA-methyltransferase
STM3387	DUF2556 domain-containing protein
STM3388	histidine kinase
STM3389	acrEF/envCD operon transcriptional regulator
STM3390	multidrug exporter AcrE
STM3391	multidrug efflux RND transporter permease
STM3392	hypothetical protein
STM3399	gamma carbonic anhydrase family protein
STM3400	hypothetical protein
STM3401	shikimate dehydrogenase
STM3402	L-threonylcarbamoyladenylate synthase type 1 TsaC
STM3403	hypothetical protein
STM3404	hypothetical protein
STM3405	DNA-protecting protein DprA
STM3406	peptide deformylase
STM3407	methionyl-tRNA formyltransferase
STM3408	16S rRNA (cytosine(967)-C(5))-methyltransferase
STM3409	Trk system potassium transport protein TrkA
STM3410	large-conductance mechanosensitive channel
STM3411	alternative ribosome-rescue factor A
STM3412	zinc-responsive transcriptional regulator
STM3413	hypothetical protein
STM3414	50S ribosomal protein L17
STM3415	DNA-directed RNA polymerase subunit alpha
STM3416	30S ribosomal protein S4
STM3417	30S ribosomal protein S11
STM3418	30S ribosomal protein S13
STM3419	50S ribosomal protein L36
STM3420	preprotein translocase subunit SecY
STM3421	50S ribosomal protein L15
STM3422	50S ribosomal protein L30
STM3423	30S ribosomal protein S5
STM3424	50S ribosomal protein L18
STM3425	50S ribosomal protein L6
STM3426	30S ribosomal protein S8
STM3427	30S ribosomal protein S14
STM3428	50S ribosomal protein L5
STM3429	50S ribosomal protein L24
STM3430	50S ribosomal protein L14
STM3431	30S ribosomal protein S17
STM3432	50S ribosomal protein L29
STM3433	50S ribosomal protein L16
STM3434	30S ribosomal protein S3
STM3435	50S ribosomal protein L22
STM3436	30S ribosomal protein S19
STM3437	50S ribosomal protein L2
STM3438	50S ribosomal protein L23
STM3439	50S ribosomal protein L4
STM3440	50S ribosomal protein L3
STM3441	30S ribosomal protein S10
STM3442	prepilin peptidase
STM3443	bacterioferritin
STM3444	bacterioferritin-associated ferredoxin
STM3445	translation elongation factor Tu
STM3446	translation elongation factor G
STM3447	30S ribosomal protein S7
STM3448	30S ribosomal protein S12
STM3449	sulfurtransferase TusB
STM3450	sulfurtransferase TusC
STM3451	sulfurtransferase TusD
STM3452	hypothetical protein
STM3453	FKBP-type peptidyl-prolyl cis-trans isomerase FkpA
STM3454	lysis protein
STM3455	peptidylprolyl isomerase
STM3456	hypothetical protein
STM3457	glutathione-regulated potassium-efflux system protein KefB
STM3458	glutathione-regulated potassium-efflux system ancillary protein KefG
STM3459	ABC transporter ATP-binding protein
STM3461	monooxygenase
STM3462	putative hydrolase
STM3463	hypothetical protein
STM3464	putative phosphoribulokinase
STM3465	hypothetical protein
STM3466	transcriptional regulator Crp
STM3467	hypothetical protein
STM3468	bifunctional succinylornithine transaminase/acetylornithine transaminase
STM3469	aminodeoxychorismate synthase component II
STM3470	cell filamentation protein Fic
STM3471	DUF2559 domain-containing protein
STM3472	peptidylprolyl isomerase A
STM3473	MFS transporter TsgA
STM3474	nitrite reductase large subunit
STM3475	nitrite reductase small subunit
STM3476	nitrite transporter NirC
STM3477	uroporphyrinogen-III C-methyltransferase
STM3478	putative surface-exposed virulence protein
STM3479	IS200 family transposase
STM3480	DUF4223 domain-containing protein
STM3481	tryptophan--tRNA ligase
STM3482	phosphoglycolate phosphatase
STM3483	ribulose-phosphate 3-epimerase
STM3484	DNA adenine methylase
STM3485	cell division protein DamX
STM3486	3-dehydroquinate synthase
STM3487	shikimate kinase I
STM3488	DNA transporter HofQ
STM3489	DNA utilization protein HofP
STM3490	hypothetical protein
STM3491	pilus assembly protein PilN
STM3492	DNA utilization protein HofM
STM3493	peptidoglycan synthetase
STM3494	putative NTP pyrophosphohydrolase
STM3495	Intracellular growth attenuator protein igaA
STM3496	GMP/IMP nucleotidase
STM3497	heat-shock protein
STM3498	heat shock protein 33
STM3499	DUF4153 domain-containing protein
STM3500	phosphoenolpyruvate carboxykinase (ATP)
STM3501	two-component system sensor histidine kinase EnvZ
STM3502	two-component system response regulator OmpR
STM3503	transcription elongation factor GreB
STM3504	putative RNase R
STM3505	ferrous iron transporter A
STM3506	ferrous iron transporter B
STM3507	ferrous iron transporter C
STM3508	hypothetical protein
STM3509	pimeloyl-[acyl-carrier protein
STM3510	DNA utilization protein GntX
STM3511	Fe-S biogenesis protein NfuA
STM3512	gluconate transporter
STM3513	4-alpha-glucanotransferase
STM3514	maltodextrin phosphorylase
STM3515	transcriptional regulator MalT
STM3516	mRNA interferase YafQ
STM3517	antitoxin DinJ
STM3518	RNA 3'-terminal-phosphate cyclase
STM3519	putative cytoplasmic protein
